ds,y
1769987075.0486543,2962
1769987075.0487235,66
1769987075.065317,66
1769987075.0656128,54
1769987075.0659995,2962
1769987075.0660417,66
1769987075.0800512,1514
1769987075.0801418,2962
1769987075.0835922,2962
1769987075.1004536,2962
1769987075.1003702,74
1769987075.1004114,54
1769987075.1012936,66
1769987075.101302,66
1769987075.1022246,66
1769987075.1022377,66
1769987075.1022406,2962
1769987075.1135573,66
1769987075.1210246,66
1769987075.1209898,2962
1769987075.1210697,66
1769987075.1269376,2962
1769987075.135241,66
1769987075.1394916,2962
1769987075.1402128,66
1769987075.1402779,2962
1769987075.153424,66
1769987075.153816,2962
1769987075.1538932,66
1769987075.1615021,66
1769987075.1689477,66
1769987075.1713517,2962
1769987075.1716733,66
1769987075.188712,2962
1769987075.1887934,66
1769987075.1939518,2962
1769987075.202067,74
1769987075.2032645,2962
1769987075.2053046,66
1769987075.2053123,66
1769987075.205916,2962
1769987075.2195303,66
1769987075.223043,2962
1769987075.235631,2962
1769987075.240538,1514
1769987075.2484834,2962
1769987075.2485797,1514
1769987075.2549953,66
1769987075.2664442,66
1769987075.2664552,66
1769987075.2664564,1514
1769987075.2665236,66
1769987075.2748916,2962
1769987075.2838507,66
1769987075.2918162,2962
1769987075.3091595,2962
1769987075.3188286,66
1769987075.319385,66
1769987075.339664,74
1769987075.3399637,54
1769987075.339968,2962
1769987075.3405907,66
1769987075.3417425,74
1769987075.3483458,2962
1769987075.3603818,66
1769987075.3640409,66
1769987075.3660045,66
1769987075.3660054,66
1769987075.3660061,2962
1769987075.368841,54
1769987075.3703358,66
1769987075.383052,66
1769987075.3832927,66
1769987075.3836887,2962
1769987075.3988435,66
1769987075.4015176,74
1769987075.4015317,2962
1769987075.9658062,66
1769987075.965821,66
1769987075.965822,1514
1769987075.9658961,66
1769987075.9677498,2962
1769987075.9679072,66
1769987075.9687865,66
1769987075.989612,2962
1769987075.9896433,66
1769987076.010135,66
1769987076.0101504,66
1769987076.0101511,2962
1769987076.0101583,66
1769987076.0204074,54
1769987076.0204082,66
1769987076.0204089,1514
1769987076.0309153,1514
1769987076.0414395,1514
1769987076.0414531,66
1769987076.051555,2962
1769987076.051629,66
1769987076.051633,66
1769987076.0593164,66
1769987076.0619607,2962
1769987076.9663649,74
1769987076.966303,2962
1769987076.9749587,2962
1769987076.9759555,66
1769987076.992771,2962
1769987077.0085328,52
1769987077.0096514,74
1769987077.0096521,2962
1769987077.0161572,66
1769987077.0174193,74
1769987077.0263858,2962
1769987077.0453775,2266
1769987077.056724,2962
1769987077.0585063,74
1769987077.0603235,66
1769987077.065682,66
1769987077.0662136,66
1769987077.0738864,2962
1769987077.0855947,66
1769987077.0917833,66
1769987077.0917888,66
1769987077.0917902,2962
1769987077.095119,66
1769987077.1087375,2962
1769987077.1149538,66
1769987077.1172228,66
1769987077.1267607,74
1769987077.1268008,66
1769987077.126802,74
1769987077.126803,74
1769987077.1271112,1514
1769987077.1298027,66
1769987077.134729,66
1769987077.1356723,66
1769987077.1356156,2962
1769987077.1545362,66
1769987077.1545491,66
1769987077.1545503,66
1769987077.1545515,2962
1769987077.1685545,74
1769987077.170738,2962
1769987077.177401,66
1769987077.1774073,66
1769987077.1891055,66
1769987077.1890845,2962
1769987077.1893954,66
1769987077.1893964,66
1769987077.1966066,74
1769987077.2051165,2962
1769987077.2057824,66
1769987077.2175708,66
1769987077.222723,2962
1769987077.2227757,66
1769987077.2259212,66
1769987077.2392473,2962
1769987077.2564554,66
1769987077.2566798,2962
1769987077.2707171,66
1769987077.273871,74
1769987077.2738833,2962
1769987077.2747424,66
1769987077.2870057,66
1769987077.2875369,2962
1769987077.291136,66
1769987077.2915902,2962
1769987077.2992759,2962
1769987077.3088071,2962
1769987077.3155382,2962
1769987077.3262608,2962
1769987077.3305118,66
1769987077.3317509,66
1769987077.3426762,1514
1769987077.3479807,2962
1769987077.350976,2962
1769987077.35629,66
1769987077.3648047,2962
1769987077.3682146,66
1769987077.3688238,66
1769987077.3688262,1514
1769987077.377281,2962
1769987077.3915012,66
1769987077.3950493,66
1769987077.3951328,2962
1769987077.3971188,66
1769987077.397125,66
1769987077.3971288,2962
1769987077.411992,66
1769987077.4123824,2962
1769987077.4132822,2962
1769987077.9672766,1514
1769987077.9680731,2962
1769987077.9756887,66
1769987077.9757872,2962
1769987077.9846568,66
1769987077.9847598,66
1769987077.9847605,2962
1769987078.9694183,2962
1769987078.971328,2962
1769987078.9836009,66
1769987078.983676,66
1769987078.983677,2962
1769987078.983732,66
1769987078.9837377,1514
1769987079.9647021,78
1769987079.9651344,66
1769987079.965136,70
1769987079.965138,2962
1769987079.9667711,74
1769987079.964713,52
1769987079.9789426,74
1769987079.9789522,74
1769987079.9789531,1514
1769987079.9839656,52
1769987079.984217,54
1769987079.9839723,66
1769987079.9839737,2962
1769987079.984222,66
1769987079.986118,74
1769987079.9891899,2962
1769987080.0010784,78
1769987080.0015697,2962
1769987080.0049086,66
1769987080.005523,66
1769987080.0055346,2962
1769987080.0189319,74
1769987080.0219858,66
1769987080.0242794,74
1769987080.0256789,66
1769987080.025696,54
1769987080.025697,66
1769987080.025713,1514
1769987080.0290523,2962
1769987080.0311055,2962
1769987080.0376067,2962
1769987080.0428555,66
1769987080.0472076,78
1769987080.0475605,2962
